Team_1,T1_score,T1_wickets,T1_overs,T1_rpo,T1_result,Team_2,T2_score,T2_wickets,T2_overs,T2_rpo,T2_result
India,269,6,50,5.38,1,New Zealand,79,10,23.1,3.41,0
West Indies,227,10,49.2,4.6,1,Sri Lanka,165,10,43.1,3.82,0
Sri Lanka,330,7,50,6.6,1,West Indies,329,9,50,6.58,0
Australia,324,8,50,6.48,1,New Zealand,256,10,44.2,5.77,0
Australia,378,5,50,7.56,1,New Zealand,262,10,47.2,5.53,0
Australia,264,8,50,5.28,1,New Zealand,147,10,36.1,4.06,0
New Zealand,341,7,50,6.82,1,Bangladesh,264,10,44.5,5.88,0
New Zealand,251,10,50,5.02,1,Bangladesh,184,10,42.4,4.31,0
Bangladesh,236,9,50,4.72,0,New Zealand,239,2,41.2,5.78,1
Australia,268,9,50,5.36,1,Pakistan,176,10,42.4,4.12,0
Australia,220,10,48.2,4.55,0,Pakistan,221,4,47.4,4.63,1
England,350,7,50,7,0,India,356,7,48.1,7.39,1
Pakistan,263,7,50,5.26,0,Australia,265,3,45,5.88,1
India,381,6,50,7.62,1,England,366,8,50,7.32,0
Australia,353,6,50,7.06,1,Pakistan,267,10,43.5,6.09,0
England,321,8,50,6.42,1,India,316,9,50,6.32,0
Australia,369,7,50,7.38,1,Pakistan,312,10,49.1,6.34,0
Sri Lanka,181,10,48.3,3.73,0,South Africa,185,2,34.2,5.38,1
New Zealand,286,9,50,5.72,1,Australia,280,10,47,5.95,0
South Africa,307,6,50,6.14,1,Sri Lanka,186,10,37.5,4.91,0
Sri Lanka,163,10,39.2,4.14,0,South Africa,164,3,32,5.12,1
New Zealand,281,9,50,5.62,1,Australia,257,10,47,5.46,0
South Africa,367,5,50,7.34,1,Sri Lanka,327,10,48.1,6.78,0
South Africa,384,6,50,7.68,1,Sri Lanka,296,8,50,5.92,0
New Zealand,207,7,34,6.08,0,South Africa,210,6,33.5,6.2,1
New Zealand,289,4,50,5.78,1,South Africa,283,9,50,5.66,0
South Africa,271,8,50,5.42,1,New Zealand,112,10,32.2,3.46,0
South Africa,279,8,50,5.58,0,New Zealand,280,3,45,6.22,1
England,296,6,50,5.92,1,West Indies,251,10,47.2,5.3,0
New Zealand,149,10,41.1,3.61,0,South Africa,150,4,32.2,4.63,1
West Indies,225,10,47.5,4.7,0,England,226,6,48.2,4.67,1
England,328,10,50,6.56,1,West Indies,142,10,39.2,3.61,0
Bangladesh,324,5,50,6.48,1,Sri Lanka,234,10,45.1,5.18,0
Sri Lanka,280,9,50,5.6,1,Bangladesh,210,10,44.3,4.71,0
Pakistan,308,5,50,6.16,0,West Indies,309,6,49,6.3,1
Pakistan,282,5,50,5.64,1,West Indies,208,10,44.5,4.63,0
West Indies,233,9,50,4.66,0,Pakistan,236,4,43.1,5.46,1
Bangladesh,257,9,50,5.14,0,New Zealand,258,6,47.3,5.43,1
New Zealand,270,8,50,5.4,0,Bangladesh,271,5,48.2,5.6,1
England,339,6,50,6.78,1,South Africa,267,10,45,5.93,0
England,330,6,50,6.6,1,South Africa,328,5,50,6.56,0
England,153,10,31.1,4.9,0,South Africa,156,3,28.5,5.41,1
Bangladesh,305,6,50,6.1,0,England,308,2,47.2,6.5,1
South Africa,299,6,50,5.98,1,Sri Lanka,203,10,41.3,4.89,0
India,319,3,48,6.64,1,Pakistan,164,10,33.4,4.87,0
